BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,
2459179.9492476196,0.9999393039704347,0.00041523145754914897,-0.0651693749126863,0.01064110920795145,0.021614414928188896,0.05289817590974066,0.07245167395543535,0.05603482144611338,-0.011127764977781618,-0.10347944372413093,0.012062982230107346,0.04150861192216837,-0.029071235807803096,-0.05082862106858261,0.06711864569723601,0.037671138077751236,-0.01072797899664557,-0.06698688939415433,
2459179.949942335,1.0000840403087359,0.0004152795831739664,-0.05762453985683461,-0.002281791340756373,0.0206499967424551,0.0008645186371610825,0.06926799410459253,0.03583155883376782,-0.10875900112202136,-0.09122210829173306,0.07060494061704388,-0.06248984858961143,0.07384796035110683,-0.10529288499250189,0.03731600879469466,-0.019800885124351245,0.026356244356116373,-0.06316783792208808,
2459179.950637062,0.9997270612432778,0.00041520178806374504,-0.07264516709625578,0.008696849719524037,0.02660941867948676,-0.06836836086954726,-0.010901238900227378,-0.04257791255019133,0.018100037680353176,-0.1289283991628147,0.12947700515519242,-0.04929005861335456,-0.017026827049743017,-0.06700847067411542,-0.1285196391298674,0.02390008277278925,0.027750605550921903,-0.06728848005792097,
2459179.9513317896,0.9988449901405964,0.0004150061772497631,-0.05893988007575156,-0.06481024204222839,0.007514362769310001,-0.034520254519334076,-0.026076449743451795,-0.019510439567121313,0.07391868313003153,-0.1739930159585823,0.02524684708530025,-0.07877484472677991,0.031185537034004337,-0.0007326261815386315,-0.04076017525803144,-0.013714436850673304,0.12450882063283387,-0.06849585893597174,
2459179.9520265046,1.0007675436710897,0.00041540551359361906,-0.042315229807436884,-0.07606667469935674,-0.05789771281855264,-0.029354689758740973,-0.00988724885300369,0.04784568580741466,-0.0339647811763959,-0.1893653757543784,0.06968517480831224,-0.02308674556493983,-0.021464925939256554,-0.0320216370554824,0.04174865061519209,0.06420348818404031,0.11066188353477,-0.07030058778868421,
2459179.952721232,1.0006560427600224,0.00041539918302645494,-0.095035853803576,-0.12394591116252485,0.019170530705738265,0.021352307771672515,-0.04710653749550072,0.10874264015246665,-0.056168108994230914,-0.15328135380430377,0.016138723406971825,-0.10648744307880247,-0.02581993329041244,0.03627457423346636,0.04594246690839338,0.0019933136043332315,0.03223203533865119,-0.06743653613355557,
2459179.9534159587,1.0005551606679721,0.000415449715118592,-0.0814757408640115,-0.100737376908603,0.1088385879991562,-0.009944974697289558,0.023038704885324997,0.010622828771919307,-0.07177830891019424,-0.15238647368116154,-0.03579637924525649,-0.05744147882500506,-0.030076345952089592,0.01758001016821853,-0.0957230353943315,0.03747661544083921,0.07319493542272812,-0.0679914541786064,
2459179.9541106857,0.9997962960846777,0.00041550279811207675,-0.1081556588083729,-0.03906608075414511,-0.06087344721993018,-0.07700074191313852,0.14013472026561355,-0.06863917647321172,0.06266552311746676,-0.02158074407688824,-0.020991476250845797,0.0032050281360706833,0.032537962770633824,0.06996669746302342,0.08732061479103696,0.05497072235108705,-0.0037751790496828586,-0.06458080068051049,
2459179.954805401,0.9994978091297556,0.0004157294847858065,-0.08912662943177159,-0.04491129436348184,-0.042953118309911845,-0.09089636431225667,0.11733632860844459,-0.05559313323756371,0.005080085188425287,-0.04378791676972884,0.016511501375786657,0.01109897734175672,-0.025960412288929074,-0.014191565081697971,0.07568643315248018,0.07499688270447928,-0.03535505843669423,-0.061549602251783624,
2459179.955500128,1.000392689676377,0.0004163917611186184,-0.07389801348795381,-0.04383859505678172,0.0942168978186585,0.035836773373106895,-0.020420647582308448,0.06747347145186147,0.0389329440173882,-0.14427408168732367,-0.02847584217933464,0.0025853988000023613,-0.005975070157906504,0.004820132621889663,-0.0038634947362286565,-0.05463423488493257,0.08900974757817887,-0.06455743190768841,
