BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,
2459147.1056646914,0.9999953287316672,0.0004152691030830372,-0.08798158218106134,-0.039493363786885116,-0.02476004352106394,0.020566644218749763,0.05709601523339417,0.13826108633426262,-0.0208143567519442,0.03803540150599409,-0.06940058778560744,-0.013189652730650904,-0.01550351472065456,-0.16866993353526472,-0.05845390853393062,0.11070202955429087,0.0320697967446397,0.0003964930548399359,-0.11204856390701357,0.04770036303569064,-0.05282026417557873,0.0011023478641370283,-0.06853224043722006,
2459147.107748956,1.0005585249988378,0.00041537929102238046,-0.07837758635291929,-0.035084761875012214,-0.08723498004409624,0.0687929398230995,0.014744950724503804,-0.008566312119306072,-0.11452800773369172,0.08013537411301455,-0.0018622242846258602,-0.04478691016811803,-0.04766381456008781,0.08907851916077819,0.05079016760241134,0.0012366547441312048,-0.1768046383794952,0.0003219557721564209,-0.038850215372851216,0.004177624173446335,-0.06440122067603146,-0.09663152924601118,-0.06764520767805705,
2459147.1084436993,1.0005953746978575,0.00041538030381852744,-0.028330051573661745,-0.07388083900540769,-0.07492037587280234,0.14490920452513315,-0.004526335905058332,-0.055075536116489965,-0.051550524811232595,-0.0031221561634969808,-0.06964497288790679,0.04118125739327881,0.020026687120371145,0.07802631830088286,0.044204167746800846,-0.03761308134637864,0.022088609958938493,-0.05217241170955805,0.09376802531986292,-0.009103176192426819,-0.031281728450244586,-0.13115389748059658,-0.07138774790802276,
2459147.109138454,1.0009427916120257,0.00041543756586171843,-0.033593954366776195,-0.08366323323051034,-0.061152199575560395,0.03565828898152057,0.021121868788192395,-0.06970460674551011,-0.012121007808554433,0.022853746374923767,-0.010211002915060594,0.007993827672481246,-0.08806379253903796,-0.001095832384859885,-0.193536316431541,0.032393015156041205,0.016465066591711774,-0.03558304935758649,0.03721054969764655,-0.047543741193777175,0.1029678953178061,0.020026510632502836,-0.07107958956593916,
2459147.1098332084,1.0003384404377478,0.0004153552115998301,-0.07515576697027182,-0.02164830076609308,-0.08274677901234528,0.02848377613201791,-0.05824700037023406,-0.06061513952266481,-0.15873049344528833,-0.03493303357888716,-0.04244592713079176,-0.021194368984741585,-0.0377080302656862,-0.016705268095054793,-0.0221243295343283,0.11885625552476911,0.036036749534908735,-0.0535920091958295,0.05926350511760703,0.05242257020311309,-0.00786869631691811,0.02315781288525741,-0.07001375266141467,
2459147.1105279634,1.0004180404361076,0.0004153448487645998,-0.0005569698707841856,-0.08708566939787779,-0.08902161092295838,-0.08420429962153575,-0.015874242227768162,0.02401018387150558,-0.12591897642277533,-0.02964843181498414,0.05630451263159471,-0.03918593841060981,-0.009124721067229391,0.0031058898557606435,-0.05280113588404803,0.027244475519514172,0.02598081174161756,-0.06199522695681792,-0.0026455303264440455,0.014502815084387626,0.015857570642938544,0.04026943484496258,-0.07391284753942053,
2459147.1112227184,1.000079346977425,0.0004152854156386602,0.03421282500486924,0.06017292234492877,-0.09493705358793145,-0.10228841618689087,0.022443758238593604,-0.053886685716175,-0.15767029163978918,0.023382911387249017,0.13312536130981703,0.016743813999227475,-0.0873709752546622,-0.07246778687700497,0.013008551271216917,-0.04685799559552481,0.01802816977756326,0.03323476703395658,-0.07670435639143139,0.05590667140009763,0.054518977560781876,0.001932487519613703,-0.06691944230517623,
2459147.1119174613,0.9998939091569395,0.00041521746783641794,-0.06290602970734284,-0.009644125594315323,-0.06157517249877272,-0.08195363072641687,-0.00902903475418146,0.051519208431201946,-0.09100560620157745,0.12483543022892038,-0.019957469431099856,0.09480487802800258,-0.07138506524395233,-0.014739113098614011,0.13894797554473612,0.09736158711476887,0.07194347884564778,-0.0012458351777928087,-0.06214342139973214,0.006887629046941446,0.03298393588015,0.018720640801027533,-0.07404171576069557,
2459147.1126122163,1.000165117223615,0.0004153081567937618,-0.09223515903555868,-0.05796625784236551,0.030614090173226298,-0.1027178184771883,-0.09047966045128936,0.0439056205251795,-0.13510928571745576,0.0691656300161499,-0.10262175297577983,0.06774060568255191,0.058299129206595524,0.01098457132971635,0.03595491963914251,-0.03297512645848516,-0.1415777520200286,0.025163001191872182,-0.010088763724150372,0.059904633814584274,-0.060179881617392406,-0.017482976636905484,-0.06543858825085824,
2459147.113306971,1.0007755114719383,0.00041545469983157534,-0.07231334315533297,-0.12332538112402106,0.00880336189868517,0.006130387585931951,-0.11377897035267812,0.004926077077835989,0.01657797800163223,0.10057180854177562,-0.09728519964805218,-0.08908325171134009,-0.0032830915704758767,-0.1497535726678038,0.08766098439793936,-0.016821267840137794,-0.03344418132380367,-0.042887816143103344,0.012674141576177873,0.051706216885863854,0.07317488833374901,0.01592894863521046,-0.07459909903620694,
