BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,
2459184.819315177,0.999594825874796,0.000415367297869695,0.0518749352236094,0.026627044675273617,0.01599620178743033,0.07705082206875763,-0.06251526801139094,-0.030141725525796192,-0.050075275622012805,-0.022132073442875103,0.04042098586334919,-0.07570408109682293,0.03874049222459994,0.15974815078444726,0.08749606747974233,-0.05003348314399861,-0.05590369179290172,-0.028692100746696116,-0.062363234344904754,0.04402446089421949,0.06087996968875464,-0.10914427574383659,0.02749414863058519,0.05169098030199945,-0.02018179618628037,0.01657818839411862,-0.025467625369214736,-0.02814063263839577,0.029067135060823885,-0.06575580315213272,
2459184.8200099007,0.999750078169582,0.0004154088278856969,0.03180138092928777,0.025909136654920218,-0.016409901221284853,-0.004130907384674511,0.039525188824797775,0.009998130177501618,0.07486677564810831,0.06017110430442703,-0.07790664432064479,-0.06467091094534673,0.006457497790350958,0.1581434127822934,-0.11095617902603717,0.02135020962687024,-0.07349494268956566,-0.1315272964726661,0.005277216283870339,0.10730364946826157,0.05860768449010659,-0.05090205758513555,0.00819090941280376,-0.055740041334795036,-0.004812954862690294,-0.04629333224199059,-0.11188008188042575,-0.08249027030696242,-0.08548102885920711,-0.06361492069853979,
2459184.820704625,0.9994276559562429,0.00041529322894179256,0.04701323564656268,0.1493132056683991,-0.05482251107714165,0.013338556500833945,0.02801100084952926,0.0975680156989881,0.029589936576964238,-0.06635483888941304,0.06449187923522881,-0.012207470753958245,0.05180677801757927,0.04921620072667186,0.028862848797996887,0.01589083199161863,0.019822890102170657,-0.038782414469797015,0.12108757342212564,0.12696189425738252,-0.018309125888747377,-0.05933269956629002,-0.07750838949347498,0.022906220562552284,-0.049559578454400566,0.07603315278045741,0.07450523789143254,-0.01171022752996026,0.08872576067600296,-0.06678999526165406,
2459184.8213993483,1.0012296683411817,0.000415513371137267,0.00920398158337299,-0.03506615346127612,-0.1423364907473261,0.022632142231383448,0.09384006741815748,-0.04281315827253296,0.034461221102611975,0.03152821170583567,-0.15695696337026346,-0.07361074628461241,-0.004609526561372489,0.14381420768116374,-0.062376195712406796,0.028215098360478724,-0.026533794538672502,-0.040199233446525755,0.05972246184834195,0.03658303699544648,0.07643469927902465,-0.061476630668486146,-0.062119336373322065,0.05208743442191136,0.02546440992492796,0.08004907813534479,-0.0389562980976181,0.0036155705572081115,-0.09037542832085899,-0.0590073114949706,
2459184.8220940605,1.0011307413955886,0.00041547552562176893,0.05030101335124997,0.17174226159348605,-0.0049257431300233565,-0.006159718814649284,0.02175680882459366,0.11994162810304923,0.06934371685806018,0.008504373247976437,0.017865553582603916,-0.005437716802586921,0.13001812652627248,0.1127940374159402,-0.0843653117636495,-0.06013851650113189,-0.020069768674575793,0.1382162293091574,-0.04264100254092699,-0.053661120486353825,0.07141800048635721,0.047407988180283286,0.01048030849512737,0.0022074204868260776,0.0753933435137483,0.031656496140621056,-0.1263116597979168,-0.0651616370779479,-0.10517210613988186,-0.06049840577887658,
2459184.8227887847,1.000424428352936,0.0004153442511068711,0.1285285182643362,0.03313677504522625,0.007193395504672672,-0.05910131971836669,0.10038562042592761,0.009696475121897696,-0.02820816572045462,-0.03974549142320018,0.10521703155599435,-0.030706261514166895,0.012197403800032508,0.06090559334460746,-4.2314996267417415e-05,-0.06271771992678965,-0.027498611523280894,-0.04005381193661924,-0.022675551923145843,0.003098053533206674,0.07751777053220374,-0.01814632937821717,-0.028551809628571484,-0.019529203321947065,0.01837657493695029,-0.023169646994770005,0.04330195089838826,-0.07762209889455465,0.07902623453944536,-0.07276602607119098,
2459184.8234835085,1.0001415825939297,0.000415254572912687,0.08900165840753672,-0.0087871371245179,-0.10972182623630229,0.020096194639628785,0.06962993607085761,-0.004292807784487179,-0.02054148114195875,-0.08403124772468362,-0.03075215059478073,-0.015749096340934566,-0.05572556866225701,0.06972588578071277,0.06494840663746243,0.039556570211075476,0.01333477734097089,-0.02471599778256707,0.022604328474911346,-0.06791951153236393,-0.10045796700667886,0.0401023945340966,-0.04336333666376458,-0.002155676633098843,0.07027550354602305,0.005644105815563072,0.03896362029915488,-0.026074782912574535,0.03612103149243129,-0.067834446625024,
2459184.8241782207,1.0010976308021158,0.00041544644714375695,0.12604470359251566,0.07893188397699967,0.0021699806258503027,0.006162133142335935,0.013875929522826791,0.027370496960047896,-0.025065466639827658,0.0417516258901367,-0.07761604090172006,0.004110461428666782,0.056502524276703964,0.055057386279487676,-0.033538475792273675,-0.03270756529681268,-0.17481545628500772,-0.0768762792091824,-0.036049176226255406,0.012041202971178028,-0.08367371900342313,0.037151516535432555,0.094717376704758,0.08352886248380356,-0.06524445589962409,-0.039598730981488015,0.0921199711465844,0.12375576737968778,-0.0002043809506823615,-0.07417228968196035,
2459184.8248729445,1.0015959237956582,0.00041553844513837084,0.142759576143358,-0.018643593010728116,-0.007778142847822216,-0.013698282808654115,-0.07360956941471736,0.010132480335419976,-0.02037741358098516,-0.015164521790387542,0.016467455975297474,-0.015861892093511052,0.05017383232333647,0.06060637874723083,0.004539836994719104,0.023484589063464244,-0.05980586193348675,-0.013221166357419,-0.07889030292404811,0.11053355500739503,0.1909745532138009,-0.004875045987120494,0.007916898652268025,0.02265810234316109,0.00789750348399585,-0.026041409759370526,0.042700085388199624,0.046869857911675625,0.033570820462399814,-0.07137546402201068,
2459184.8255676683,1.0004155683424014,0.00041530002931807305,0.16440895755529636,-0.0012346661324060383,0.017300685154605526,-0.06628413142476734,-0.015219051319198332,-0.009523435788682307,0.12084114276292923,0.020289493307797307,0.02813177483929065,-0.03797416058367415,-0.017309221340169545,0.05160158931841175,-0.02114515553517582,-0.04057654063888593,0.02360795403354947,-0.03933431151939566,-0.05535417530738972,0.1579203247254958,-0.10261166526621579,0.06083011528328986,-0.08473586054367165,0.10347393062375512,0.049356774759316345,0.11101944584893603,0.055652966887141546,0.03441444023333738,-0.036282277809898573,-0.07150140742475415,
2459184.8262623805,1.0004916454748702,0.0004153091969580029,0.16927687642125572,-0.0378224985167969,0.020414586610033005,0.008538189185204145,-0.020302615369502827,-0.009247006985813542,-0.11002632418360836,-0.04526916362157646,-0.08471747092808471,0.04731647835530523,-0.16909044225156436,0.03867951988814151,-0.053007084764567954,-0.08487330881242088,-0.02786827222551956,-0.028911030305989106,-0.05468664582450274,0.04945691639219632,-0.08891549795184307,0.07673670540157437,0.032469749324835054,-0.006592587411197016,0.09090726560930265,-0.09014538872462433,-0.06350145029885762,-0.04535124370167504,0.09367954040771025,-0.07059079250237787,
2459184.8269571043,1.0008920330574838,0.0004153737030233347,0.15497841526597175,0.0026842251198737504,0.04174193191952782,-0.08143251417678801,0.004431246913423392,0.03055601433694631,0.06908955663788584,-0.013622935872185216,-0.03561434628930471,0.006991690798254315,-0.004408512513368185,0.04471555625767529,-0.05487597142084069,-0.10039629369207477,-0.04510127705707635,-0.023984131313533722,0.0386288731105667,-0.07524432969404211,-0.022057918149528604,0.0010548838764946368,-0.035296028822941805,-0.025655968328216913,-0.024979529352798124,-0.0342366806321949,0.08003851363161553,0.12676835438706174,-0.05746629264089206,-0.07165731798394295,
2459184.8276518285,1.0011878020577105,0.00041544710648673235,0.09355496464503203,0.00219656479611302,-0.11230522128831179,0.09534933152194439,0.20728705980221904,0.008217892034786282,0.0342317518601119,0.06977718443927322,0.10217508335698348,0.03874633518132476,-0.006180193795522093,0.051335727687345116,0.028478972101886962,-0.09835721304948691,0.013272073765121295,-0.06511747249777178,0.06370594819105685,-0.04052882233144198,-0.010877182636089847,0.0105190425397361,-0.02169834584798426,-0.08717565139091314,0.03465629086747442,-0.03977748199309378,-0.004227366124735156,0.020478384167030406,0.012396155550931352,-0.06982089990304219,
2459184.8283465407,1.0000855298106663,0.00041524075942350893,0.1434188802324707,0.03907822959964434,0.0376211521846676,-0.057827573584384104,0.045537916054605915,-0.09310046529309735,0.01188359561950203,-0.024174655771098758,0.003346687074775534,-0.06901007853801511,0.009352682133038484,0.057574700750335106,-0.00800914153138177,0.020480544672333217,0.08803071547226352,-0.02197346535889558,-0.03121473782086171,0.05480168435517524,-0.05313668459126238,0.062146237806493004,-0.015627403865707688,0.05078614375722804,-0.08260720333817295,-0.03185219746841844,0.02735093140467488,0.026021812143684042,0.0870459643195878,-0.07201758996854923,
2459184.8290412645,0.9997127098273348,0.0004152114617677435,0.12326868857820865,-0.023123042873914208,-0.06024271340447162,0.0004999040456551973,0.011709609557127881,-0.02604080147461238,-0.057915168261775396,0.06901302591701539,0.03088394891545143,-0.033407658255123866,0.09759634788641491,0.057312994777223784,0.021662193800448426,0.014692887610635424,0.01827602145604308,-0.013742341582149636,0.009278887621215608,0.11407068926380225,0.011197650076282817,0.020035446175439467,-0.06511784807401741,-0.05604315311187991,-0.12896770788898668,0.016216738110288786,0.08454855479096599,0.06548132982845806,-0.02374733549377791,-0.0675667606093875,
2459184.829735988,1.0011422847785592,0.00041557593367345464,0.14173267853579974,0.05888530564799188,-0.06397692173377949,-0.031048550603193545,0.12204188261377305,-0.00513216586305209,0.054172250910694664,0.06720676850551655,-0.03133966124147913,-0.028418477797188143,0.024434637417994953,0.01163215105294638,0.1673224087355771,-0.005711031247321699,0.14510436133848154,-0.010828420766047881,0.05637330915971955,-0.0024721206371131066,-0.038360858165287136,0.0772537448696539,-0.06012434799665849,-0.011089405235003484,-0.07655634004393305,0.03184770302581866,0.021784986334009056,0.10760209550236924,-0.04050158276010655,-0.06941243085591925,
2459184.8304307004,1.0008073951074428,0.00041569493419568493,0.13767165333003853,0.002496016146432818,-0.06986895343842599,0.019120550449874138,-0.04974224355651846,-0.03603249364788853,-0.02408984304640277,-0.1346429152135531,0.013404848561267169,-0.018775470228893143,0.07626841866610046,0.02735574030324027,0.03286646024694623,0.07786852655943655,-0.0026266130818270172,0.0058687682910053595,0.013921672040771157,-0.0920301175518356,-0.037445846842641704,0.08288082144080666,-0.00563775027695791,0.019009795128144626,0.030724884452305312,-0.02252520258275409,0.13965893331542195,-0.0032735504247077274,0.06652919844711988,-0.0688971560481213,
2459184.8311254242,1.0009444435033337,0.00041602063338709084,0.09997542917901833,-0.03604930412734773,-0.08575400130601278,-0.076542852202925,0.03961580601513315,-0.09575507075907654,-0.10171695148844717,0.018370849205591046,0.017622163184888365,0.065303035494998,-0.10801903053651216,0.03261597479473872,0.1494026646304202,0.04305626677207626,0.019577595136638398,0.017143857732205694,0.050670167001592326,-0.0699899490116469,0.004431258041598135,0.023052756621338433,0.0037913849905237247,-0.03850712985052109,0.046156572587027406,-0.055316039799373246,-0.03916397156346736,0.06240592599455044,0.032546642352478714,-0.0660962851126549,
2459184.831820148,1.0009225869992853,0.0004164757769906535,0.131026383857924,-0.02093009627569803,-0.12280242302520407,0.008168228291191126,0.07811797187625125,-0.11111624068189012,-0.03096712140771041,0.02200692558448481,-0.010359469812439258,0.11705667335669381,-0.1108825174665925,-0.004530465049898927,0.010969274456390843,-0.003577312423893158,-0.07088168788536912,0.05096352118068439,0.06839936205962595,0.052295930257371115,-0.04993796565611515,-0.032283438807310584,-0.055443085274592095,-0.0161711500054399,-0.02811250120479794,-0.029988024778673128,0.016620685355077987,-0.08033026892194076,-0.031411002426211906,-0.07021316412449657,
