BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,
2459160.490925502,0.9996196859669461,0.00041528602415801257,-0.0496276167104598,-0.09480060868543659,0.07013728467008853,-0.025373719235012304,-0.014012704907334889,-0.07638783509634284,0.05782964298237376,-0.009176132995065756,-0.12627677361437795,-0.04044742084139231,-0.06521599050929772,0.052405920258938865,-0.043142934365231145,-0.04596872739866552,-0.0295664898603254,0.036768259868439165,-0.07417641377579359,0.004706364100295664,-0.022416190283548625,0.0061997079506766195,
2459160.4916202445,1.0004077500569821,0.0004154254830016423,0.02675778212512745,-0.016985567465445644,0.029972040376843735,-0.030154564423454273,0.024966310133807013,-6.775125192329257e-05,0.10353443036286147,0.005009577179206998,-0.08633823676686664,-0.07287232370328199,0.07256986810782695,0.08139524002605046,-0.007742030155441532,-0.00776709673147926,-0.1162216549004872,0.04984358430271491,-0.024854363237948884,0.026399449190499896,0.034003286615479966,0.060224546357733576,
2459160.4923149874,0.9995243615699924,0.0004152652372301693,-0.14545356647889865,-0.03038600010745765,0.015182184866195336,-0.005760568068239294,0.015160006705359441,0.016836554503492272,0.07419548770663631,0.035556124193842215,-0.16868259723517198,0.015131227722222584,-0.08830948912120043,0.008744818382127961,-0.045663941901224914,-0.09026409288889989,-0.14485050200852195,0.02384737105236554,-0.07167196930679107,-0.022772241085977703,-0.0014762594000824747,0.05527719699503587,
2459160.493009718,0.9998958478345337,0.0004152924227321438,-0.04793196580496811,0.025138083295300945,0.04317466926948588,0.041820599892059336,-0.0006026260305151475,0.07238576647616175,-0.1255660054811959,-0.0467964704649555,0.024682680255844816,-0.15041726893325036,0.042719732527963614,0.05346045911381863,0.03896972559766493,0.048735369337085624,-0.13911430648501016,0.15380851847889287,-0.09334591629582613,0.05268529012736186,0.0838044406154754,-0.05164136521396715,
2459160.493704461,1.000668846093288,0.0004154772027101682,0.06461198886977673,0.05693805643638932,0.008942963846030293,0.053276141380312676,-0.1021150735297702,0.02459062938031343,-0.08872751517840816,-0.08984143733653809,0.02315302686745957,0.10671150799179646,-0.029920113272748947,-0.033870824809002366,-0.033850606369007274,0.0261304468958094,-0.07975023960842981,0.025380268682532577,-0.16566909820183132,0.08494885798213513,0.11326955710763043,0.019682786869587653,
2459160.4943992035,1.0002953717835141,0.0004153834678681773,0.03645195521168981,0.005814652108990989,0.04711782747495566,-0.014358248195963907,-0.055287558188967224,0.050313214449889336,-0.008432447349553673,0.03055713860017438,0.025875734119700178,0.004255145103020885,0.06741830630670911,0.005666726711462435,-0.0044136204989558,0.14528094057992352,-0.13161150565154012,-0.08411491472194269,-0.10094613747157945,0.024149598827398748,0.012946121505937935,-0.02385155617567122,
2459160.495093946,0.9999427525272295,0.0004153199492043468,-0.08312684469973051,-0.03646111845494377,-0.05702706084880878,-0.034822667323575786,-0.110974151664756,-0.0017864029995709905,-0.12185212075625096,0.034724173052927965,0.014527332762192424,-0.04389363945988342,-0.09765325597179535,-0.06533719282056065,-0.0059401983663971425,-0.0495796542191306,-0.06772464262049481,0.10421580717346064,-0.12087386391022742,-0.03490835928954951,0.0043850564865837716,0.048315646858981584,
2459160.4957886883,1.0003041633965846,0.00041535200586858303,-0.09301191082714633,-0.02645515759888185,0.103886182623431,0.02874178942007373,0.02921933537283264,-0.06661198286333628,0.021880992444410413,-0.017547992896294815,-0.018936397504657157,0.19031555406095207,-0.01883595199913947,0.024278160149937767,0.15185384107427255,0.13872034748348844,-0.14954706009998212,-0.026299594537606608,-0.14026134245799046,0.009847714369970293,0.10325659954452276,0.046159709631918934,
2459160.496483419,0.9999828234684545,0.00041531405632632155,0.08339735995680389,-0.0729561109308247,0.15021333683320312,-0.14674595909035437,-0.0184545664537129,-0.019413595089822173,0.19620538790828196,-0.034394714301532125,-0.018069008693691803,-0.043886859209724294,-0.0003515966667346185,-0.00506608460975572,-0.04792744090613166,0.046388580227130105,-0.10822340066519201,0.043903148434127987,-0.03236341491115973,-0.014679771879192425,-0.027250426854810383,-0.010345359876708562,
2459160.4971781615,0.9994225958522607,0.00041523214942213723,-0.018175168554219356,-0.10001679481595326,0.030904134103246994,-0.07749491721791098,-0.017852015451178316,-0.07011074708248999,0.10349073888287352,-0.03864002256837121,0.04220853114727385,0.003827468569602782,-0.004164471015450689,0.00529857530090889,-0.15712694005638916,0.12744352995813826,0.03424191951871309,-0.028846250862810896,-0.16300193419381862,0.07117232439515121,0.007610278716230157,-0.003557690356009016,
