BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,
2459150.7437779116,1.0000300268131952,0.00041527897204454955,0.06137625369721023,0.06333994143959773,-0.06470591764097851,0.0336312074845704,0.05322980177895548,-0.03351509215612834,-0.026621988486156378,0.02793586823138052,0.03158592804380533,0.08729693017143586,0.01054819355773351,-0.06856026620620616,0.04611064412535637,-0.03212899845880875,0.07773120771337244,0.03758894006439274,0.0745365763987354,-0.026856496689366106,-0.029433241886626233,0.02909521460740576,-0.013156295777886934,0.022696005379235187,0.09258304746523242,-0.06992182014995085,
2459150.7444726625,1.000443160864374,0.0004153698036873562,0.06517657396523731,0.05110953808028715,0.05005695422255313,0.03291940912870973,-0.0833558011906506,-0.15167203367958124,0.032373078920976454,0.0831728037474373,0.07076720356666624,0.028630603463815275,0.07195846044876647,-0.041250511905011805,0.01347138416227145,-0.06427433805514163,-0.0019674167869662973,0.0011862072584718497,-0.03182947171219854,0.01353319635113519,0.012728433203109908,0.036067045122075814,-0.009929116247777453,-0.012917730885445067,0.03424676251496834,-0.06648444318255628,
2459150.745167414,1.0002986699762324,0.0004153228286553387,0.042833418879496966,0.03855069678756138,0.07459141433421564,0.06894465795896067,0.016918281406133343,-0.12826499827875024,-0.12273038443065508,-0.10273738588378296,0.08467235916186128,-0.0243000315567925,0.05942686810907266,-0.08391178666868966,0.029499270876226252,0.06502367592063146,-0.015780465028740365,0.021963492988481277,0.1267123351268796,0.006860296012012394,0.05825929960654791,0.05597724403881918,0.010948045288239006,0.024582283708949854,-0.028234321363570507,-0.06575953833027225,
2459150.745862154,1.0002310640170753,0.0004153032578206184,0.14456343520309997,-0.021138934464252784,0.02061889681653359,0.07450137409849385,-0.03024160078094834,-0.054896902259783206,0.05751739436963842,0.08697627415130851,0.05627540398827676,0.022722050968668445,-0.044571844591912435,-0.0004276819752336984,0.006659529030560357,0.1099909182313649,0.04553730166812159,0.04344173821924918,0.11078454371260854,-0.05022462291970869,-0.05103708607999704,-0.082011232022621,0.09064877318917736,0.007754404448794647,-0.01445901474625988,-0.06707753601578077,
2459150.746556905,1.0001573317919872,0.00041528488691123654,0.17843191988422585,0.09106390555729092,0.022472748465973108,0.09176013712222389,0.09471545294116443,0.0181024050369296,-0.028257662948412206,0.1400867022622862,0.0725648291034133,0.02041448922668393,0.03530868516227793,0.09202705100701085,0.0003129193057715973,0.0021575837054276566,-0.02068446609115368,0.04214911187793499,0.036648543662450475,-0.019813276256663126,0.027214737508323338,0.04193067470048854,-0.01586612192681064,0.03507738720546775,-0.07817812887057667,-0.061187492800676806,
2459150.7472516564,1.0001119151448576,0.0004152779766584249,0.023995188990498663,0.14795330809493834,0.08184169549953096,0.07122822556867904,-0.043905895550708285,-0.101091768558573,-0.016409053911375066,-0.05196850946619174,0.050099724378055474,0.014441118078674042,0.022324014589999077,0.2037095951098312,0.03779047042443814,0.011561851387054234,-0.04914449842892554,-0.03315829527606695,-0.011010538689213041,-0.06443990789898306,0.01767601781771324,0.02260635971251736,-0.05067940960046101,-0.007459683295944271,-0.14094099062916543,-0.06162188069819873,
2459150.747946408,1.0001066497911288,0.0004152927645534514,0.026203302873365582,-0.004086864549585862,-0.1613923341684365,0.13297443133917633,-0.09191202403030874,-0.10112575224960743,-0.024507877955954216,0.029177431118897996,-0.005743639907288246,0.020257252034234376,0.01567691686055781,-0.01719261995006411,-0.048585601318237304,0.021198365811941164,0.014375086582835001,-0.045564111735822005,-0.0019860555285345764,-0.04875091947062266,0.013400438819445165,0.0208745188648759,-0.010703005957339598,-0.014354578987699654,-0.08340869894942707,-0.059871297936745484,
2459150.748641171,1.0007748000269712,0.00041542405031957334,0.10651494181280749,0.05758940268295557,-0.007386807694968661,0.07935369024949747,0.027084277156924547,-0.054648148935964806,-0.06107858193045468,-0.06388579754937752,-0.037676457673089525,0.001081898374381135,-0.04132156337108824,0.05710449384769952,-0.0230322914255272,0.06693284697829037,-0.06669100028822977,-0.029281404729278177,0.05756188309434374,0.009878619353823639,-0.005141988622878269,0.08090103537513668,-0.004132899329961116,0.04404710323261517,-0.0035573693180556056,-0.0644870643252722,
2459150.7493359107,1.0009120629861292,0.0004154582834564957,0.04903967510788803,0.07669324532648922,0.09761212115624593,0.007066071495525187,-0.01392809588995908,-0.08148899788593764,0.11400804343916743,0.22070261867235227,-0.1597385721109023,0.1482251707353084,-0.06845470171331512,-0.09374145129977073,0.11841366120274326,0.07961220984166356,0.004249106455867044,-0.017866344972769958,-0.09601712870398409,-0.02300795860615695,0.014318401303867578,0.11626953889050373,0.027018986051771166,0.09117344784536299,0.01844556459902302,-0.06924000531494005,
2459150.750030662,0.9998014312797253,0.0004152658264408045,0.07123973079629771,0.06266527761484068,-0.009137025583744393,0.048504734454538075,-0.06739269635219716,-0.17734365602876756,0.003744514642062269,-0.02728361541418909,-0.04466026788112917,-0.016591675263661437,0.034128976854268356,0.023231847000065378,0.0513729125848149,0.052757857363741355,0.05862442021411684,0.042161453608215105,-0.10106703083917656,-0.0031670707136993185,-0.05689064460479375,0.020346173374231502,-0.041207158135954686,-0.04316408795491476,-0.05078902174568134,-0.0681837619833587,
