BJD,Flux,Flux_err,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,
2459125.1863103523,1.0013720058148756,0.0004152900255657366,0.021741215021774146,-0.05915247529178627,0.06402328379613509,0.05889488069878886,0.02635671443260108,0.021961593665259266,0.034669099768426734,-0.14621994279876732,-0.08665501526917856,-0.09670296979130401,0.09302188036895764,0.02573191971065239,
2459125.1870051287,1.0006781109373404,0.0004151984758184657,0.022314030390087836,-0.06026300544706278,-0.026693025183391027,0.09321543935511935,-0.15197786718865502,-0.03636976349907788,0.11987366614234629,-0.11244339289038346,-0.06088822748463787,0.011884290445095135,-0.017914469604647515,-0.0569243546353696,
2459125.1876999047,1.0001032822796438,0.00041507281633825426,-0.09283069366837862,-0.09168112860882897,0.06991271204282111,-0.07328808513119173,0.024158817381722403,-0.030043009797062203,0.045018519354151514,0.008880706579323383,0.05914430050851471,-0.12453792249040985,0.0294435288409928,-0.0026558445583722,
2459125.1883946806,1.001248318740792,0.0004153301101992421,0.04214507652631244,-0.06979086096648923,-0.05443410175890651,-0.02676921849500316,0.01916562956972392,-0.02323138442175718,0.09047449328192957,-0.09329761721870328,-0.09864572137853075,-0.05763164171224857,0.022040442454421223,0.06408677015116915,
2459125.1890894566,1.001594121721498,0.00041540171734280915,-0.07748599355278385,-0.0768866207922001,-0.07974424404932064,0.019309841838385453,-0.033119255855486196,0.03985417311809822,0.010887905544761267,-0.09201494363462927,-0.015446778887152157,-0.03820711839734949,-0.03468551453903454,0.1291225785485792,
2459125.1904789973,1.0008951881937866,0.00041527456497873755,-0.07623437990341192,-0.10371875905365247,-0.016649762606150843,0.06708866433204017,-0.013179803553053548,-0.045855423414971064,-0.0491092094137186,0.018568363681876646,0.0946933591421484,-0.03764543804363148,-0.05800213841638828,-0.04298292785113628,
2459125.191173773,1.001909730471143,0.00041547716255785073,-0.006762737181720324,-0.006911053122518932,0.049079306612002827,-0.00884150772446951,-0.06003439227627746,-0.1462725274302054,0.11461152688397783,-0.05764456243351015,0.08414689746577982,-0.11733336136375741,0.08829801630830653,-0.12965402779289364,
2459125.191868549,1.0003132867149307,0.00041515738783260044,0.08981695703761011,-0.08024188578087554,0.04394755199538062,-0.21525957846759586,-0.045510758711923026,-0.06521092424354619,-0.04493938387253687,0.09026971084080328,0.0397946747944281,-0.050774727533870335,0.06613283226933216,-0.19619440640814517,
2459125.1925633247,1.0003773397668323,0.00041520868209483805,-0.18638774422869428,-0.14187965072165776,-0.04115990131611038,0.0269999091892012,-0.04616591235401912,-0.06682581285415995,0.02577504625902488,0.07132430817964047,0.016356717109793747,-0.23423718572100846,0.20628695393767782,0.010562177381648052,
2459125.1932580895,1.0002055179589453,0.00041515605982189773,0.03451659722446385,-0.09713609477714058,-0.07698188923873808,0.029388547851234747,0.022390753048207486,0.041858636513384506,-0.02723725945973543,-0.060131386482620695,0.07447365562042357,-0.018176779519794815,0.009404022072372795,-0.02435292700642311,
