BJD,flux,flux_err,flux_d,flux_err_d,cen_x,cen_y
2456182.698533806,0.9974799797552617,0.0009253548684784579,0.9994106441112675,0.0009271459316551505,15.3859,15.2071
2456182.698557209,1.0046341958419305,0.0009288391069871308,1.0061211049732595,0.0009302138355753382,15.3841,15.212
2456182.6985806124,0.9825145605843035,0.0009177199540119132,0.9845228519616149,0.0009195958031284217,15.3839,15.2059
2456182.6986040156,1.0085840819494571,0.0009298387631609285,1.0107848394285956,0.00093186769624548,15.376,15.2043
2456182.6986274184,1.0064555330646325,0.0009290785068475226,1.0077778634868007,0.0009302991755545106,15.377,15.2137
2456182.6986508216,1.0105147461730046,0.0009308351842014776,1.011611622591571,0.0009318455713996746,15.3718,15.2161
2456182.698674225,1.0066641693282596,0.000930155806219285,1.0077428488660967,0.0009311525040910674,15.3826,15.2164
2456182.698697628,0.9951785252815726,0.0009248113660927038,0.9973965618830667,0.0009268725695927402,15.3836,15.2039
2456182.698721031,0.9945926781575984,0.0009222782567591002,0.9964269588748044,0.0009239791713741216,15.3941,15.2082
2456182.6987444344,1.0001050876835984,0.0009258660195317265,1.0010271655565537,0.0009267196503955679,15.3812,15.218
2456182.698767837,0.997749566553679,0.0009265421623806705,0.9982157520378294,0.000926975077133064,15.3865,15.223
2456182.6987912403,1.0049042213675603,0.000929033214982043,1.00607238974648,0.0009301131857908344,15.3887,15.2155
2456182.6988146435,0.9973187372489576,0.0009259210167969515,0.998155876290271,0.0009266982253295731,15.3816,15.2189
2456182.6988380468,0.9954933854606437,0.0009253645738782034,0.996516071694519,0.0009263152156653241,15.3769,15.2168
2456182.69886145,0.9940980698743991,0.0009249084200901599,0.9950737154417613,0.0009258161603097853,15.3699,15.2172
2456182.698884853,1.002657193062064,0.0009284929477295376,1.0035027888771515,0.0009292759967680036,15.363,15.2186
2456182.698908256,1.010966445106287,0.0009325789210224383,1.0115075076002324,0.0009330780310366745,15.3602,15.2219
2456182.698931659,0.9980891527026482,0.0009257172034022939,0.9979691939865016,0.0009256059429533307,15.3669,15.2291
2456182.6989550623,1.0053460372715153,0.000929696417297993,1.00578752641899,0.0009301046855593343,15.3717,15.2231
2456182.6989784655,1.0028838732087249,0.0009270339026344479,1.0032290393122194,0.0009273529631842561,15.3768,15.2242
2456182.6990018687,0.9874068425524306,0.0009204795226729143,0.9888237603948752,0.0009218004005553367,15.3633,15.2122
2456182.699025272,1.0002343981711188,0.0009256233845380863,1.0017799561099507,0.0009270536538559152,15.3772,15.2112
2456182.6990486747,1.002480456162414,0.0009268947919047609,1.0038663888599648,0.0009281762271600753,15.3801,15.213
2456182.699072078,0.9909295473973792,0.000921094197990136,0.9930179732262845,0.0009230354428737806,15.3829,15.2052
2456182.699095481,1.0138097019918284,0.000932734207418368,1.0148909445032477,0.0009337289817581029,15.3859,15.2165
2456182.6991188843,1.0037227117306353,0.0009272862430278337,1.0046742205153472,0.0009281652915896244,15.3871,15.2178
2456182.6991422875,0.9950452623951752,0.0009240478746460493,0.9964427877351878,0.000925345685277391,15.3756,15.2127
2456182.6991656907,1.0021005630563804,0.0009277876886813567,1.0033544427672552,0.0009289485843057328,15.3714,15.2143
2456182.6991890934,0.9912373141808827,0.0009231452724697078,0.9924526553448021,0.0009242771270053063,15.3734,15.2146
2456182.6992124966,1.010281032320312,0.0009325142183574677,1.012154294794372,0.0009342432856525,15.3657,15.2077
2456182.6992359,1.001028986787778,0.0009281079668729619,1.0023761607069321,0.0009293570044769004,15.3803,15.2134
