num mjd kelt1 comp1 comp2 airmass m1z k1loc c1loc c2loc tellurictop telluricbot
52 1.62104785 30945070.7542 17025458.4107 14372627.0197 1.12153374324 -0.137338 1.49019197322 1.49493479104 1.3036554083 22723966.1696 0.310776238345
53 1.62183646 30749394.3074 16926332.1912 14280864.2087 1.11939200476 -0.128012 1.36849489027 1.2057995249 1.17331990872 22405067.8194 0.362496621151
54 1.62262894 30806355.5535 16948183.9272 14293018.9229 1.11724051191 -0.128266 1.75043269734 1.57129017659 1.26357840327 22067013.5912 0.366048685727
55 1.62342267 30840924.6525 16957064.3355 14315088.6902 1.1151180702 -0.128353 1.94998687098 1.67046194492 1.54633715268 22317700.8792 0.370331096674
56 1.62422045 31004214.121 17046014.4048 14376595.7309 1.11298390749 -0.138674 1.63968075075 1.42048716589 1.02352488329 22654640.4398 0.324677004217
57 1.62501476 30810057.461 16954647.5588 14305611.2149 1.11091152791 -0.143633 1.81936906883 1.70434626211 1.15644500602 22623183.4481 0.305569922954
58 1.62580728 30744781.6078 16909778.8329 14271440.3472 1.10886414203 -0.151872 1.70853290947 1.65186690692 1.62394112173 22206970.8275 0.270951428576
59 1.62660136 30845134.2889 16967338.7189 14326708.3934 1.10684099003 -0.159211 2.01480935724 1.83576875231 1.55351560027 22094582.155 0.241069312808
60 1.6275787 31022709.6937 17071230.1173 14414578.8271 1.10436388437 -0.160344 2.02205486654 1.72388908193 1.6174006301 24587687.3621 0.240938305547
61 1.62836698 31180466.9016 17135465.4113 14469074.3042 1.10242089238 -0.169209 2.19305217672 1.77320168493 1.59124911888 22857484.2361 0.204413540846
62 1.62916413 31194636.8229 17150806.3004 14475941.1548 1.10044208464 -0.181036 2.03076735437 1.83751471309 1.63670945138 23067936.324 0.15450330358
63 1.62995745 31217763.3152 17157387.8206 14487100.0188 1.0985215003 -0.187046 1.93506572394 1.83343424853 1.51401813644 22607124.4983 0.132196919539
64 1.63075128 31370610.2369 17243126.1092 14541562.6056 1.0966241187 -0.209239 2.18459859361 1.88205316928 1.6758465126 22038989.0296 0.0355422184034
65 1.63154854 31394762.2975 17254217.6983 14552127.8387 1.09475059995 -0.216779 2.15297656502 1.95395140305 1.7817060399 21924393.8088 0.00718814646247
66 1.63234175 31435109.4055 17255813.4434 14584618.9804 1.09289489687 -0.235053 2.09951639925 1.87202101609 1.61269826729 21751511.3922 -0.069708295926
67 1.63313562 31435190.0314 17286852.6634 14604401.7159 1.09106503951 -0.256498 2.18149803598 2.06438219573 1.4960281304 21803152.5085 -0.160041092505
68 1.63393475 31516868.3268 17317748.8692 14621991.0139 1.08923475031 -0.267884 2.32048388542 2.01727642209 1.85680145117 22276818.4802 -0.204107768129
69 1.63472803 31482495.4436 17296714.6496 14648983.0456 1.08744600872 -0.282988 2.24535086485 2.10641295905 1.69904680054 22387049.7287 -0.26431282466
70 1.63569941 31475136.2898 17325961.8262 14620131.2453 1.08529774216 -0.294513 2.37946244458 2.16882006402 2.13356340129 25302937.0179 -0.307967879476
71 1.63649475 31525625.3984 17349011.7598 14647453.8516 1.08356734737 -0.300255 2.29713892722 2.0845793981 1.88626724413 23171740.7402 -0.32564275664
72 1.63728698 31532166.6906 17360632.985 14644720.3381 1.08185427718 -0.319066 2.270165104 2.05704120108 1.90513779265 22389369.3701 -0.40054613206
73 1.63807893 31562465.2744 17346238.3454 14651306.2294 1.08016827742 -0.315506 2.42950335421 2.1638606288 1.87898203799 22368568.5037 -0.377024239153
74 1.63886622 31540891.8905 17349394.8366 14673900.518 1.0785019067 -0.308484 2.30341835784 2.08393215922 1.94421400874 22171105.25 -0.338811932427
75 1.63966089 31520308.2114 17345039.1065 14666059.1002 1.07685992254 -0.316339 2.44650861555 2.19274248358 2.10856533506 22677553.5921 -0.365299744262
76 1.64045263 31568249.5642 17388165.3487 14672301.7792 1.07523521424 -0.311117 2.38366220222 1.99282136395 1.84729479814 23407333.0593 -0.335433344542
77 1.64125067 31530677.7973 17345566.0194 14660156.8766 1.07363684893 -0.291351 2.61345599122 2.3182040503 2.12133902509 23807912.6573 -0.243863010384
78 1.64204297 31480962.0193 17321137.0392 14634128.1606 1.07206023396 -0.274577 2.32309758953 2.1551883487 2.00107126823 23539779.8386 -0.166035150477
79 1.64284245 31477402.1001 17308739.0864 14609595.5097 1.07048212409 -0.265012 2.49772016131 2.19353968544 2.02836077454 23414606.6232 -0.119535533666
80 1.64396549 31402171.8775 17288519.3188 14587383.3397 1.06830885286 -0.249153 2.64283833961 2.17694652169 2.03921974971 24540042.3784 -0.0471195537247
81 1.64475921 31413900.6605 17301645.5445 14585991.2053 1.06680525402 -0.240577 2.44618423062 2.17016989624 2.04085793282 23835003.8647 -0.00594575582961
82 1.64555317 31351286.7441 17251332.9083 14556279.6558 1.06531812254 -0.214405 2.53442074668 2.23080480729 2.01432078417 24065487.7653 0.10797352758
83 1.6463447 31322356.8901 17247525.8434 14547337.2042 1.0638560956 -0.198694 2.4353167984 2.20594698178 2.06761956321 24249062.2638 0.177413446622
84 1.64714243 31210060.47 17197594.4805 14518880.8892 1.06239191594 -0.185503 2.62358986241 2.17358771657 2.1515969832 24557285.231 0.235754238146
85 1.6479353 31121637.6318 17145633.5046 14466387.6452 1.06096772274 -0.172861 2.50907892687 2.25044140678 1.89490715419 24546056.3516 0.291246531753
86 1.6487319 31111728.8094 17144161.5659 14466577.3119 1.0595683928 -0.170675 2.69589836027 2.32359776347 2.05055184106 24372702.5976 0.303510465094
87 1.64952313 31108092.0783 17128541.8328 14460892.1262 1.05818903817 -0.168414 2.54191716558 2.22979764074 2.17417304086 23938187.9191 0.315931751843
88 1.65031166 31181196.8894 17173013.0769 14478719.7921 1.05682992435 -0.179703 2.64585607884 2.38369409758 2.24678750929 23916675.3892 0.273421063383
89 1.65110232 31205740.3452 17184904.8492 14501372.5221 1.05551070938 -0.19476 2.58078899817 2.37230796611 2.01165203943 24154004.034 0.216096165058
90 1.65209533 31259532.1453 17226001.3894 14522404.9406 1.05385747341 -0.218908 2.69992455074 2.60840549723 2.34899717667 26460877.5185 0.122819112222
91 1.65289272 31359685.115 17255796.6227 14556700.2804 1.05254328675 -0.232041 2.69344141853 2.247171141 1.91403785117 23344948.576 0.0742677983108
